top - 09:53:36 up 17 min,  1 user,  load average: 8.10, 7.04, 4.56
Tasks: 191 total,   1 running, 190 sleeping,   0 stopped,   0 zombie
%Cpu(s): 31.6 us, 17.5 sy,  0.0 ni, 47.4 id,  0.0 wa,  1.8 hi,  1.8 si,  0.0 st
MiB Mem :   4617.4 total,   3625.1 free,    791.4 used,    200.9 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   3657.9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1139 root      20   0  855804  25592  19088 S   0.0   0.5   0:10.84 /home/apps/FT_Apps/TsyncDaemon/bin/tsync /home/apps/FT_Apps/TsyncDaemon/conf/ts+
 1169 root      20   0 1077736  19736  12580 S   0.0   0.4   0:01.05 execution-manager -R /home/apps -S machine -F FT_Apps/TimeManager FT_Apps/Visio+
 1199 root      20   0    2904   1908   1212 S   0.0   0.0   0:00.26 /bin/ftdlt-daemon -c /opt/config/logcfg/dlt.conf -d -p 3600
 1200 root      20   0   30512  28116   5668 S   0.0   0.6   0:11.12 python3 /oneui/scripts/rpcutil/getPortSta.py 2
 1227 root      20   0  385400   8112   4356 S   0.0   0.2   0:07.08 someipd
 1249 root      20   0   79644   3364   2008 S   0.0   0.1   0:04.94 /bin/dlt-daemon -c /opt/config/logcfg/apdlt.conf -d -p 3490
 1251 root      20   0   98484   3836   3480 S   0.0   0.1   0:00.38 /home/apps/FT_Apps/FtLogRevicer/FtLogRevicer
 1285 root       0 -20       0      0      0 I   0.0   0.0   0:00.47 [kworker/0:2H-events_highpri]
 1332 root      20   0 1060764  25720  18100 S   0.0   0.5   0:05.91 /opt/ap/diagnostic_manager/bin/diagnostic_manager
 1362 root      20   0 1119028  35792  23476 S   0.0   0.8   0:04.75 ./Sf_VCt_Diag_J5_1/bin/Sf_VCt_Diag_J5_1
 1400 root      20   0 1316480  24788  18092 S   0.0   0.5   0:20.29 /home/apps/FT_Apps/Sf_VCt_PlfM/StateManager/bin/StateManager -c
 1408 root      20   0  678136  23780  18416 S   0.0   0.5   0:01.22 ./GeneralDiag/Sf_VCt_GeneralDiag_J5_1/bin/Sf_VCt_GeneralDiag_J5_1
 1489 root      20   0  479792  11496   8384 S   0.0   0.2   0:00.75 ./FactoryMode/Sf_VCo_Factory_J5_1_Test
 1541 root      20   0 1227712  22512  14348 S   0.0   0.5   0:25.40 /home/apps/FT_Apps/PHMServer/Sf_VCt_PHMServer_J5_1/bin/Sf_VCt_PHMServer_J5_1
 1677 root      20   0       0      0      0 S   0.0   0.0   0:00.90 [isp_connection]
 1678 root      20   0       0      0      0 D   0.0   0.0   0:16.68 [isp_process]
 1679 root     -41   0       0      0      0 S   0.0   0.0   0:01.76 [vio_gw1]
 1680 root      20   0       0      0      0 S   0.0   0.0   0:00.91 [isp_hw1_connect]
 1682 root     -41   0       0      0      0 S   0.0   0.0   0:01.58 [vio_gw2]
 1842 root      20   0  986684  11352   8444 S   0.0   0.2   0:00.16 ./Transmitter/Transmitter
 1845 root      20   0    4176   1892   1752 S   0.0   0.0   0:07.91 /bin/sh /etc/init.d/J5_1_cache.sh
 1856 root      20   0    4176   1164   1044 S   0.0   0.0   0:00.00 /usr/bin/busybox/getty -l /usr/bin/login -L ttyS1 921600 vt102 ::shutdown:/usr/+
 1969 root      20   0    3064   2360   1872 S   0.0   0.0   0:00.89 dropbear -B
 2062 root      20   0    2736   1956   1724 S   0.0   0.0   0:00.20 dropbear -B
 2063 root      20   0    4176   2428   2180 S   0.0   0.1   0:00.05 -sh
 2102 root      20   0    5080   3184   2868 S   0.0   0.1   0:00.01 /usr/libexec/sftp-server
 2236 root      20   0       0      0      0 I   0.0   0.0   0:00.03 [kworker/0:2-events]
 4253 root      20   0       0      0      0 I   0.0   0.0   0:00.24 [kworker/u16:8-events_unbound]
